,,,,,,,,,,,,,,,,
"//!","Linux distribution timeline data sheet",,,,,,,,,,,,,,,
"//!","Copyright (C) 2010-2012 Donjan Rodic, Andreas Lundqvist, Mohammed A. Mustafa",,,,,,,,,,,,,,,
"//!","Copyright (C) 2016 Konimex",,,,,,,,,,,,,,,
"//!","Copyright (C) 2016-2017 Fabio Loli & contributors",,,,,,,,,,,,,,,
"//!","Maintained by Fabio Loli",,,,,,,,,,,,,,,
"//!","Design assistance - Aleksandar Urošević",,,,,,,,,,,,,,,
"//!","Original idea (“Línea del tiempo Distribuciones Linux”) - José Alex Sandoval",,,,,,,,,,,,,,,
"//!","Permission is granted to copy, distribute and/or modify this document",,,,,,,,,,,,,,,
"//!","under the terms of the GNU Free Documentation License, Version 1.3",,,,,,,,,,,,,,,
"//!","or any later version published by the Free Software Foundation;",,,,,,,,,,,,,,,
"//!","with no Invariant Sections, no Front-Cover Texts, and no Back-Cover Texts.",,,,,,,,,,,,,,,
"//!",,,,,,,,,,,,,,,,
"//!",,,,,,,,,,,,,,,,
"//","Open/save this file as a standard CSV  <=>  comma (,) separated and double quotes ("") as text delimiter.",,,,,,,,,,,,,,,
"//","You can safely insert commas or double quotes into data fields.",,,,,,,,,,,,,,,
"//","EXCEPTION: Don't insert a comma right after a double quote, since this terminates the field.",,,,,,,,,,,,,,,
"//","When editing with LibreOffice Calc, load the file with “quoted field as text” turned on to prevent autoformatting.",,,,,,,,,,,,,,,
"//",,,,,,,,,,,,,,,,
"//!","gnuclad parses this correctly no matter in what order the nodes are. You can swap any lines.",,,,,,,,,,,,,,,
"//!",,,,,,,,,,,,,,,,
"//!","Empty lines get ignored, the first column controls the rest of the line:",,,,,,,,,,,,,,,
"//!","# = comment, N = node, C = connector, D = domain",,,,,,,,,,,,,,,
"//!","SVG = SVG image to include, PNG = PNG image to include",,,,,,,,,,,,,,,
"//!",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"#","Nodes",,,,,,,,,,,,,,,
"#","Name","Color","Parent","Start","Stop","Icon","Description","[Namechange","When","Description","[Namechange","When","Description",". . . ]]",,
"N","Debian","#bf1238",,"1993.8.16",,"images/debian.svg.png","http://www.debian.org",,,,,,,,,
"N","Knoppix","#c7bff0","Debian","2000.9.30",,,"http://www.knoppix.net/",,,,,,,,,
"N","Clonezilla Live","#f79f5d","Debian","2004.5",,,"http://clonezilla.org/",,,,,,,,,
"N","grml","#e7c71c","Debian","2004.8.31",,,"http://grml.org/",,,,,,,,,
"N","Ubuntu","#e95420","Debian","2004.10.20",,,"http://www.ubuntu.com/",,,,,,,,,
"N","Ubuntu Touch","#e95420","Ubuntu","2013.10.17",,,"https://ubports.com/",,,,,,,,,
"N","Xubuntu","#53525f","Ubuntu","2006.6.1",,,"http://www.xubuntu.org/",,,,,,,,,
"N","GalliumOS","#6cd6de","Xubuntu","2015.11.10",,,"https://galliumos.org/",,,,,,,,,
"N","Ubuntu Studio","#0099ee","Ubuntu","2007.5.10",,,"http://ubuntustudio.org/",,,,,,,,,
"N","A/V","#334466","Ubuntu","2009.2",,,"http://www.bandshed.net/AVLinux.html","AV","2009.5.8","http://ardour.org/node/2669",,,,,,
"N","Lubuntu","#0169c9","Ubuntu","2009.4.13",,,"http://lubuntu.net/",,,,,,,,,
"N","Trisquel","#5fc8ff","Debian","2005.4",,,"http://trisquel.info/",,,,,,,,,
"N","Tails","#6e2daf","Debian","2009.6.23",,,"https://tails.boum.org/",,,,,,,,,
"N","LinuxBBQ","#ffea3c","Debian","2012.6.1",,,"http://linuxbbq.org/",,,,,,,,,
"N","Raspbian","#641325","Debian","2012.6",,,"http://raspbian.org/",,,,,,,,,
"N","SteamOS","#b55afb","Debian","2013.09.23",,,"http://store.steampowered.com/steamos/",,,,,,,,,
,,,,,,,,,,,,,,,,
"N","SLS","#9c8ac4",,"1992.6","1994.1",,"http://en.wikipedia.org/wiki/Softlanding_Linux_System",,,,,,,,,
"N","Slackware","#000","SLS","1993.7.16",,"images/slackware.svg","http://www.slackware.com/",,,,,,,,,
,,,,,,,,,,,,,,,,
"N","S.u.S.E","#438643","Slackware","1994.3",,,"https://en.wikipedia.org/wiki/SUSE_Linux_distributions","SuSE","1998.12","https://www.suse.com/","SUSE","2003.10.24","https://www.suse.com/",,,
"N","OpenSUSE","#7ac142","S.u.S.E","2006.12.7",,,"http://www.opensuse.org/",,,,,,,,,
"N","Jurix","#9f9f9f",,"1995.2.8","1997",,"http://www.ibiblio.org/pub/historic-linux/distributions/jurix/",,,,,,,,,
,,,,,,,,,,,,,,,,
"N","Red Hat","#cc0000",,"1994.11.3",,,"http://www.redhat.com/","Red Hat Enterprise","2002.3.26","http://www.redhat.com/",,,,,,
"N","Mandrake","#3f48c9","Red Hat","1998.7.23","2015.5.27",,"http://www.mandriva.com/","Mandriva","2005.4.8","http://www.mandriva.com/",,,,,,
"N","PCLinuxOS","#78ca75","Mandrake","2003.10",,,"http://pclinuxos.com/",,,,,,,,,
"N","Rocks","#1e2e41","Red Hat","2000.11",,,"http://www.rocksclusters.org/",,,,,,,,,
"N","Fedora Core","#362e94","Red Hat","2003.11.6",,,"http://fedoraproject.org/","Fedora","2007.5.31","http://fedoraproject.org/",,,,,,
"N","Moblin 2","#3366bb","Fedora Core","2008.8.19","2010.5.26",,"http://moblin.org/",,,,,,,,,
"N","MeeGo","#4e2174","Moblin 2","2010.5.26","2011.10.3",,"http://meego.com/",,,,,,,,,
"N","Tizen","#555","MeeGo","2011.9",,,"http://www.tizen.org/",,,,,,,,,
"N","Mer","#002bb8","MeeGo","2011.10.3",,,"http://merproject.org/",,,,,,,,,
"N","Sailfish OS","#32A283","Mer","2013.11.27",,,"https://sailfishos.org/",,,,,,,,,
"N","Qubes OS","#666","Fedora Core","2010.4.7",,,"http://qubes-os.org/",,,,,,,,,
"N","CentOS","#6f4376","Red Hat","2003.12.1",,,"http://centos.org/",,,,,,,,,
"N","Scientific","#191756","Red Hat","2004.5.10",,,"https://www.scientificlinux.org/",,,,,,,,,
"N","Oracle Enterprise","#f00","Red Hat","2006.10.25",,,"http://www.oracle.com/us/technologies/linux/index.htm","Oracle Linux","2007.6.26","http://www.oracle.com/linux/",,,,,,
,,,,,,,,,,,,,,,,
"N","Enoch","#a0a0f0",,"1999.12",,,"http://www.gentoo.org/","Gentoo","2002.3.31","http://www.gentoo.org/",,,,,,
"N","Funtoo","#333399","Enoch","2008.9",,,"http://www.funtoo.org/",,,,,,,,,
"N","Chrome OS (Proprietary)","#039405","Enoch","2009.07.07",,,"http://www.chromeos.eu/",,,,,,,,,
,,,,,,,,,,,,,,,,
"N","Linux From Scratch","#000",,"1999.12",,,"http://www.linuxfromscratch.org/",,,,,,,,,
,,,,,,,,,,,,,,,,
"N","CRUX","#4d699b",,"2001.1",,,"http://crux.nu/",,,,,,,,,
,,,,,,,,,,,,,,,,
"N","Arch","#0771a6",,"2002.3.11",,,"http://www.archlinux.org/",,,,,,,,,
"N","Arch Linux ARM","#0771a6","Arch","2009.8.9",,,"http://archlinuxarm.org/",,,,,,,,,
"N","Parabola","#787dab","Arch","2010.11",,,"https://parabola.nu/",,,,,,,,,
"N","ARCHLabs","#3f3f3f","Arch","2017.03.3",,,"https://archlabsblog.wordpress.com/",,,,,,,,,
,,,,,,,,,,,,,,,,
"N","Linux Router Project","#000",,"1997","2002",,"https://web.archive.org/web/20030624030005/http://www.linuxrouter.org/",,,,,,,,,
"N","LEAF","#00b4d7","Linux Router Project","2000.10.29",,,"http://leaf.sourceforge.net/",,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"N","Alpine","#5f8dd3",,"2006.5.4",,,"http://www.alpinelinux.org/",,,,,,,,,
,,,,,,,,,,,,,,,,
"N","SliTaz","#000",,"2007.4.1",,,"http://www.slitaz.org/",,,,,,,,,
,,,,,,,,,,,,,,,,
"N","Tiny Core","#4f5f82",,"2009.1.5",,,"http://www.tinycorelinux.com/",,,,,,,,,
,,,,,,,,,,,,,,,,
"N","Bedrock","#00b070",,"2012.8.3",,,"http://bedrocklinux.org/",,,,,,,,,
,,,,,,,,,,,,,,,,
"N","Minimal Linux Live","#6633FF",,"2014.07.28",,,"http://minimal.linux-bg.org/",,,,,,,,,
,,,,,,,,,,,,,,,,
"N","RancherOS","#3BC7D2",,"2015.02.09",,,"http://rancher.com/rancher-os/",,,,,,,,,
"N","Void","#478061",,"2015.7.13",,,"https://voidlinux.eu",,,,,,,,,
,,,,,,,,,,,,,,,,
"N","Android","#a4c639",,"2007.11.5",,,"http://www.android.com/",,,,,,,,,
"N","CyanogenMod","#33B5E5","Android","2009.7.1","2016.12.31",,"http://cyanogenmod.org",,,,,,,,,
"N","LineageOS","#167C80","CyanogenMod","2016.12.23",,,"http://lineageos.org/",,,,,,,,,
"N","CopperheadOS","#167C80","Android","2015.4.21",,,"https://copperhead.co/android/",,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"#","Connectors",,,,,,,,,,,,,,,
"#","Leaving 'To When' empty will result in using 'From When' as this value",,,,,,,,,,,,,,,
"#","From When","From","To When","To","Thickness","Color",,,,,,,,,,
"C","2009.5.8","Debian",,"A/V","2","#bf1238",,,,,,,,,,
,,,,,,,,,,,,,,,,
"C","2008.7.24","Ubuntu",,"Trisquel","2","#675a3b",,,,,,,,,,
,,,,,,,,,,,,,,,,
"C","1996.5","Red Hat",,"S.u.S.E","2","#cc0000",,,,,,,,,,
,,,,,,,,,,,,,,,,
"C","2005.6","CentOS",,"Rocks","2","#6f4376",,,,,,,,,,
,,,,,,,,,,,,,,,,
"C","1996.5","Jurix",,"S.u.S.E","4","#9f9f9f","# SUSE has rebased from Slackware to Jurix",,,,,,,,,
"C","2001.1","Linux From Scratch",,"CRUX","1","#000",,,,,,,,,,
"C","2002.3.11","CRUX",,"Arch","1","#4d699b",,,,,,,,,,
"C","2006.5.4","LEAF",,"Alpine","1","#00b4d7",,,,,,,,,,
,,,,,,,,,,,,,,,,
"C","2016.12.23","CyanogenMod",,"LineageOS","2","#33B5E5","# Steve Kondik forked his own project since CyanogenMod is shutting down by Cyanogen Inc. (also Cyanogen OS as OS is shutting down )",,,,,,,,,
,,,,,,,,,,,,,,,,
"#","Domains",,,,,,,,,,,,,,,
"#","Distribution","Color","Intensity",,,,,,,,,,,,,
"D","Debian","#bf1238","6",,,,,,,,,,,,,
"D","Slackware","#d3d7cf","22",,,,,,,,,,,,,
"D","Red Hat","#cc0000","6",,,,,,,,,,,,,
"D","Enoch","#a0a0f0","22",,,,,,,,,,,,,
"D","Arch","#0771a6","10",,,,,,,,,,,,,
"D","Android","#a4c639","15",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"#","Images",,,,,,,,,,,,,,,
"#","File Path","x Position","y Position",,,,,,,,,,,,,
"SVG","images/tux.svg","485","1050",,,,,,,,,,,,,
"SVG","images/gnu.svg","535","1150",,,,,,,,,,,,,
"SVG","images/info-connectors.svg","30","900",,,,,,,,,,,,,
